high_grade,low_grade,nces_id,principal,principal_email,school_address,school_city,school_id,school_name,school_phone,school_state,school_zip,state_id
Postgraduate,6,,Minnowcoal,Noah.Thompson@example.com,606 Dallin Mountain,Lucien,1311,Pumahoneysuckle,(474) 876-8441,CT,91621,
Kindergarten,Kindergarten,,,,4914 Farrell Light,New Deal,0348,Razorgem,523.442.2557 x14055,PA,33671,
5,Prekindergarten,,,,772 Lora Lodge,Baldock,8664,Skullround,(858) 126-1590,MI,39519,
6,3,,,,456 Bauch Rue,Lucien,5433,Whimseyspectrum,1-518-553-4328,CO,44272,
3,Prekindergarten,,,,18494 Kristian Cape,Kingsbridge,5201,Riderbald,1-480-546-5658 x880,NH,12564,
Postgraduate,Prekindergarten,,,,957 Bill Crossing,Kingsbridge,0724,Roverheavy,1-601-967-1589 x670,WY,86422,
9,Prekindergarten,,,,34735 Nicola Pass,Berkhamsted,5452,Cubprickle,1-679-316-9519 x51894,WI,05483,
Kindergarten,Kindergarten,,,,,Northleach,STRIVE,Fancierforest,,,,
Kindergarten,Kindergarten,,,,7603 Donnell Port,,4780,Seednimble,861-928-0012 x72183,,,
Kindergarten,Kindergarten,,,,,,4880,Hornblaze,,,,
Kindergarten,Kindergarten,,Mouseisland,Elijah.Garcia@example.com,401 Hillary Canyon,,1271,Gembranch,221-140-4630 x997,,,
4,Kindergarten,,Tailbog,Natalie.Smith@example.com,58712 Wintheiser Wells,,1272,Facelava,(638) 031-7072 x7440,,,
Kindergarten,Kindergarten,,Lizardatom,Noah.Thompson@example.com,,,1275,Princemaple,,,,
Kindergarten,Kindergarten,,,,,,6640,Hawkbranch,,,,
Kindergarten,Kindergarten,,,,,,6630,Buffalonoon,,,,
Kindergarten,Kindergarten,,,,,,6272,Stormwell,,,,
Kindergarten,Kindergarten,,,,,,6250,Mindpsychadelic,,,,
Kindergarten,Kindergarten,,,,,,6620,Heroncopper,,,,
Kindergarten,Kindergarten,,,,,,6280,Carpetkeen,,,,
Kindergarten,Kindergarten,,,,,,6230,Goatatom,,,,
Kindergarten,Kindergarten,,,,,,6270,Molevalley,,,,
Kindergarten,Kindergarten,,,,,,6290,Hunterspangle,,,,
Kindergarten,Kindergarten,,,,,,6340,Chopperfuschia,,,,
Kindergarten,Kindergarten,,,,,,6361,Gemmaple,,,,
Kindergarten,Kindergarten,,,,,,6671,Ridermaple,,,,
Kindergarten,Kindergarten,,,,,,6680,Princesnow,,,,
Kindergarten,Kindergarten,,,,,,6400,Scarerpond,,,,
Kindergarten,Kindergarten,,,,,,6650,Trackseason,,,,
Kindergarten,Kindergarten,,,,,,6560,Stallionhoney,,,,
Kindergarten,Kindergarten,,,,,,6570,Toelizard,,,,
Kindergarten,Kindergarten,,,,,,6323,Rabbitshine,,,,
Kindergarten,Kindergarten,,,,,,6283,Chestglory,,,,
Kindergarten,Kindergarten,,,,,,6590,Foeautumn,,,,
Kindergarten,Kindergarten,,,,,,6010,Facepink,,,,
Kindergarten,Kindergarten,,,,,,6440,Bugsheer,,,,
Kindergarten,Kindergarten,,,,,,6260,Paintergreen,,,,
Kindergarten,Kindergarten,,,,,,6140,Frienddew,,,,
Kindergarten,Kindergarten,,,,,,6190,Llamaindigo,,,,
