first_name,last_name,middle_name,password,school_id,state_teacher_id,teacher_email,teacher_id,teacher_number,title,username
Ella,Jinglehimer schmidt,,,4055,,Ella.Jinglehimer schmidt.139375@example.com,139375,139375,,
Alexander,Keihanaikukauakahihuliheekahaunaele,,,1020,,Alexander.Keihanaikukauakahihuliheekahaunaele.139359@example.com,139359,139359,Teacher,
Avery,Thompson,,,1420,,Avery.Thompson.139360@example.com,139360,139360,,
Ethan,Thomas,,,1991,,Ethan.Thomas.139361@example.com,139361,139361,Teacher,
David,Miller,,,1440,,David.Miller.139364@example.com,139364,139364,,
Gwendolyn,Jinglehimer-schmidt,,,4283,,Gwendolyn.Jinglehimer-schmidt.139286@example.com,139286,139286,,
Elijah,Martinez,,,4640,,Elijah.Martinez.139369@example.com,139369,139369,Teacher,
Liam,Wilson,,,4690,,Liam.Wilson.139304@example.com,139304,139304,,
Michael,Thompson,,,4690,,Michael.Thompson.139379@example.com,139379,139379,Teacher,
Olivia,White,,,1171,,Olivia.White.139345@example.com,139345,139345,Teacher,
Aubrey,Taylor,,,4200,,Aubrey.Taylor.139254@example.com,139254,139254,Teacher,
Madison,O,,,4680,,Madison.O.139241@example.com,139241,139241,,
Jayden,Martinez,,,4280,,Jayden.Martinez.138767@example.com,138767,138767,,
Ethan,Taylor,,,4450,,Ethan.Taylor.139368@example.com,139368,139368,Teacher,
William,Johnson,,,4640,,William.Johnson.139431@example.com,139431,139431,,
Matthew,Jackson,,,4240,,Matthew.Jackson.139429@example.com,139429,139429,Teacher,
Alexander,Miller,,,4210,,Alexander.Miller.135597@example.com,135597,135597,,
Lily,Jones,,,1080,,Lily.Jones.139427@example.com,139427,139427,Teacher,
Aiden,Jackson,,,4680,,Aiden.Jackson.139441@example.com,139441,139441,,
Mary-Jane,Jones,,,1053,,Mary-Jane.Jones.139415@example.com,139415,139415,,
Mary Jane,Keihanaikukauakahihuliheekahaunaele,,,1230,,Mary Jane.Keihanaikukauakahihuliheekahaunaele.139417@example.com,139417,139417,,
Jayden,Keihanaikukauakahihuliheekahaunaele,,,1420,,Jayden.Keihanaikukauakahihuliheekahaunaele.139355@example.com,139355,139355,,
John Paul,Miller,,,2360,,John Paul.Miller.139337@example.com,139337,139337,,
Michael,Miller,,,1195,,Michael.Miller.139406@example.com,139406,139406,Teacher,
Sadurniño,Harris,,,4323,,Sadurniño.Harris.135600@example.com,135600,135600,,
Liam,Johnson,,,4250,,Liam.Johnson.139444@example.com,139444,139444,,
Ethan,Taylor,,,4200,,Ethan.Taylor.139289@example.com,139289,139289,,
Mary Jane,Jinglehimer-schmidt,,,1420,,Mary Jane.Jinglehimer-schmidt.139317@example.com,139317,139317,,
David,Johnson,,,4640,,David.Johnson.139477@example.com,139477,139477,,
Ava,White,,,4140,,Ava.White.139485@example.com,139485,139485,,
X,Anderson,,,4460,,X.Anderson.139244@example.com,139244,139244,,
Bartholomew,Williams,,,4592,,Bartholomew.Williams.139488@example.com,139488,139488,Substitute,
Emma,Robinson,,,4370,,Emma.Robinson.139481@example.com,139481,139481,,
Jayden,Miller,,,4100,,Jayden.Miller.139450@example.com,139450,139450,,
David,Thomas,,,4061,,David.Thomas.139482@example.com,139482,139482,,
Daniel,Jackson,,,4080,,Daniel.Jackson.139484@example.com,139484,139484,,
William,Anderson,Hawkbrick,,2010,50791916,William.Anderson.007305@example.com,007305,007305,,
Liam,Martin,,,1070,53756448,Liam.Martin.009551@example.com,009551,009551,,
Sophia,Miller,,,4600,,Sophia.Miller.139655@example.com,139655,139655,,
Ava,Moore,,,1260,,Ava.Moore.139497@example.com,139497,139497,,
James,Taylor,,,4084,,James.Taylor.139496@example.com,139496,139496,,
Jayden,Miller,,,4630,,Jayden.Miller.139495@example.com,139495,139495,,
Sophia,Jones,,,1470,,Sophia.Jones.139661@example.com,139661,139661,,
